date,EUR_USD,USD_BOB_PARALLEL,USD_BOB_REFERENCIAL
2026-05-12,1.1774,10.04,10.39
2026-05-12,1.18,9.99,10.39
2026-05-13,1.17,9.98,10.25
2026-05-13,1.17,9.98,10.25
2026-05-13,1.17,10.0,10.25
2026-05-13,1.17,10.2,10.25
2026-05-14,1.17,9.98,10.32
2026-05-14,1.17,10.05,10.32
2026-05-14,1.17,10.04,10.32
2026-05-15,1.17,10.06,10.25
2026-05-15,1.17,10.07,10.25
2026-05-15,1.17,10.2,10.25
2026-05-16,1.17,10.04,10.25
2026-05-16,1.16,10.02,10.25
2026-05-16,1.16,10.0,10.25
2026-05-16,1.16,10.02,10.25
2026-05-16,1.16,10.02,10.25
2026-05-17,1.16,10.01,10.25
2026-05-17,1.16,10.01,10.25
2026-05-17,1.16,10.01,10.25
2026-05-17,1.16,10.02,10.25
2026-05-17,1.16,10.02,10.25
2026-05-18,1.16,10.02,10.12
2026-05-18,1.16,10.04,10.12
2026-05-19,1.16,10.04,10.19
2026-05-19,1.16,10.04,10.19
2026-05-20,1.16,10.05,10.19
2026-05-20,1.16,11.0,10.19
2026-05-20,1.16,11.0,10.19
2026-05-21,1.16,11.0,10.13
2026-05-21,1.16,11.0,10.13
2026-05-22,1.16,11.0,10.15
2026-05-22,1.16,11.0,10.15
2026-05-23,1.16,11.0,10.15
2026-05-23,1.16,11.0,10.15
2026-05-23,1.16,11.0,10.15
2026-05-23,1.16,11.0,10.15
2026-05-24,1.16,11.0,10.15
2026-05-24,1.16,11.0,10.15
2026-05-24,1.16,11.0,10.15
2026-05-25,1.16,11.0,10.13
2026-05-25,1.16,11.0,10.13
2026-05-26,1.16,11.0,10.11
2026-05-26,1.16,11.0,10.11
2026-05-27,1.16,11.0,10.11
2026-05-27,1.16,11.0,10.11
2026-05-28,1.16,11.0,10.11
2026-05-28,1.16,11.0,10.14
2026-05-28,1.16,11.0,10.14
2026-05-29,1.16,11.0,10.13
2026-05-29,1.16,11.0,10.13
2026-05-29,1.16,9.95,10.13
2026-05-30,1.17,9.94,10.13
2026-05-30,1.17,9.94,10.13
2026-05-30,1.17,9.94,10.13
2026-05-30,1.17,9.95,10.13
2026-05-31,1.17,9.95,10.13
2026-05-31,1.17,9.92,10.13
2026-05-31,1.17,9.92,10.13
2026-05-31,1.17,9.95,10.13
2026-06-01,1.17,9.93,10.08
2026-06-01,1.17,9.93,10.08
2026-06-02,1.16,9.97,10.07
2026-06-02,1.16,9.95,10.07
2026-06-03,1.16,9.94,9.92
2026-06-03,1.16,9.94,9.92
2026-06-04,1.16,9.96,9.92
2026-06-04,1.16,9.94,9.92
2026-06-04,1.16,9.93,9.92
2026-06-05,1.16,9.93,9.92
2026-06-05,1.16,9.96,9.92
2026-06-06,1.16,9.94,9.92
2026-06-06,1.16,9.95,9.92
2026-06-06,1.16,9.94,9.92
2026-06-06,1.16,9.94,9.92
2026-06-06,1.16,9.93,9.92
2026-06-06,1.16,9.94,9.92
2026-06-06,1.16,9.94,9.92
2026-06-06,1.16,9.95,9.92
2026-06-06,1.16,9.94,9.92
2026-06-07,1.16,9.94,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.94,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.94,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.94,9.92
2026-06-07,1.16,9.93,9.92
2026-06-07,1.16,9.93,9.92
2026-06-08,1.15,9.94,9.92
2026-06-08,1.15,9.94,10.11
2026-06-08,1.15,9.94,10.11
2026-06-08,1.15,9.95,10.11
2026-06-08,1.15,9.94,10.11
2026-06-08,1.15,9.95,10.11
2026-06-08,1.15,9.94,10.11
2026-06-09,1.15,9.94,10.11
2026-06-09,1.15,9.93,10.07
2026-06-09,1.15,9.93,10.07
2026-06-09,1.15,9.93,10.07
2026-06-09,1.15,9.94,10.07
2026-06-09,1.15,9.94,10.07
2026-06-09,1.15,9.96,10.07
2026-06-09,1.15,9.93,10.07
2026-06-10,1.15,9.93,10.07
2026-06-10,1.15,9.93,10.0
2026-06-10,1.15,9.92,10.0
2026-06-10,1.15,9.93,10.0
2026-06-10,1.15,9.95,10.0
2026-06-10,1.15,9.95,10.0
2026-06-10,1.15,9.95,10.0
2026-06-10,1.15,9.95,10.0
2026-06-11,1.15,9.91,10.0
2026-06-11,1.15,9.91,10.03
2026-06-11,1.15,9.91,10.03
2026-06-11,1.15,9.95,10.03
2026-06-11,1.15,9.88,10.03
2026-06-11,1.15,9.9,10.03
2026-06-11,1.15,9.89,10.03
2026-06-12,1.16,9.9,10.03
2026-06-12,1.16,9.89,10.07
2026-06-12,1.16,9.93,10.07
2026-06-12,1.16,9.95,10.07
2026-06-12,1.16,9.89,10.07
2026-06-12,1.16,9.89,10.07
2026-06-13,1.16,9.88,10.07
2026-06-13,1.16,9.88,10.07
2026-06-13,1.16,9.88,10.07
2026-06-13,1.16,9.91,10.07
2026-06-13,1.16,9.93,10.07
2026-06-13,1.16,9.91,10.07
2026-06-13,1.16,9.9,10.07
2026-06-13,1.16,9.91,10.07
2026-06-13,1.16,9.91,10.07
2026-06-13,1.16,9.91,10.07
2026-06-14,1.16,9.92,10.07
2026-06-14,1.16,9.91,10.07
2026-06-14,1.16,9.91,10.07
2026-06-14,1.16,9.9,10.07
2026-06-14,1.16,9.89,10.07
2026-06-14,1.16,9.89,10.07
2026-06-14,1.16,9.9,10.07
2026-06-14,1.16,9.9,10.07
2026-06-14,1.16,9.9,10.07
2026-06-14,1.16,9.89,10.07
2026-06-14,1.16,9.89,10.07
2026-06-15,1.16,9.89,10.07
2026-06-15,1.16,9.89,10.02
2026-06-15,1.16,9.9,10.02
2026-06-15,1.16,9.9,10.02
2026-06-15,1.16,9.91,10.02
2026-06-16,1.16,9.91,10.02
2026-06-16,1.16,9.89,9.94
2026-06-16,1.16,9.89,9.94
2026-06-16,1.16,9.92,9.94
2026-06-16,1.16,9.9,9.94
2026-06-16,1.16,9.9,9.94
2026-06-16,1.16,9.91,9.94
2026-06-17,1.16,9.91,9.94
2026-06-17,1.16,9.91,10.02
2026-06-17,1.16,9.91,10.02
2026-06-17,1.16,10.0,10.02
2026-06-17,1.16,10.0,10.02
2026-06-17,1.16,9.95,10.02
2026-06-17,1.16,9.95,10.02
2026-06-18,1.16,9.95,10.02
2026-06-18,1.16,9.95,10.01
2026-06-18,1.16,9.95,10.01
2026-06-18,1.16,9.95,10.01
2026-06-18,1.16,9.91,10.01
2026-06-18,1.16,9.85,10.01
2026-06-18,1.16,9.87,10.01
2026-06-19,1.15,9.9,10.01
2026-06-19,1.15,9.9,9.92
2026-06-19,1.15,9.9,9.92
2026-06-19,1.15,9.86,9.92
2026-06-19,1.15,9.89,9.92
2026-06-19,1.15,9.9,9.92
2026-06-19,1.15,9.93,9.92
2026-06-20,1.15,9.94,9.92
2026-06-20,1.15,9.96,9.92
2026-06-20,1.15,10.03,9.92
2026-06-20,1.15,10.05,9.92
2026-06-20,1.15,9.99,9.92
2026-06-20,1.15,9.97,9.92
2026-06-20,1.15,9.96,9.92
2026-06-20,1.15,9.96,9.92
2026-06-20,1.15,9.96,9.92
2026-06-20,1.15,9.97,9.92
2026-06-20,1.15,9.94,9.92
2026-06-21,1.15,9.92,9.92
2026-06-21,1.15,9.92,9.92
